time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-04T17:45:20.320Z,19.1831665039062,-155.457000732422,34.9700012207031,1.96,ml,47.0,120.0,,0.129999995,hv,hv72937677,2022-03-04T17:50:50.450Z,"3 km SE of Pāhala, Hawaii",earthquake,0.6,0.75999999,5.08,3.0,automatic,hv,hv
2022-03-04T17:41:47.080Z,38.8223333,-122.8043333,3.82,0.42,md,28.0,42.0,0.004608,0.05,nc,nc73701141,2022-03-04T20:31:11.061Z,"6km NW of The Geysers, CA",earthquake,0.26,0.4,0.152,3.0,reviewed,nc,nc
2022-03-04T17:34:32.320Z,19.1868324279785,-155.482330322266,32.8199996948242,2.1500001,md,44.0,75.0,,0.119999997,hv,hv72937667,2022-03-04T17:37:46.980Z,"1 km SSW of Pāhala, Hawaii",earthquake,0.44,0.709999979,0.910000026,11.0,automatic,hv,hv
2022-03-04T17:26:26.050Z,38.8370018,-122.8095016,1.61,0.9,md,21.0,54.0,0.01359,0.04,nc,nc73701136,2022-03-04T18:51:15.288Z,"8km WNW of Cobb, CA",earthquake,0.19,0.48,0.2,4.0,automatic,nc,nc
2022-03-04T17:10:47.460Z,38.7613333,-122.4141667,7.21,2.09,md,56.0,95.0,0.05153,0.11,nc,nc73701131,2022-03-04T20:50:14.058Z,"14km ESE of Hidden Valley Lake, CA",earthquake,0.17,0.32,0.112,36.0,reviewed,nc,nc
2022-03-04T16:59:42.707Z,-57.4719,-25.7697,66.54,5.0,mb,,82.0,6.823,0.46,us,us6000h22d,2022-03-04T19:06:11.040Z,South Sandwich Islands region,earthquake,11.7,6.2,0.111,28.0,reviewed,us,us
2022-03-04T16:53:37.913Z,62.6269,-149.8382,1.4,2.8,ml,,,,0.86,ak,ak0222wgp8lk,2022-03-04T17:03:12.040Z,"24 km NE of Chase, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-04T16:42:14.760Z,34.1253333,-117.4586667,6.83,1.13,ml,27.0,102.0,0.03055,0.16,ci,ci40199568,2022-03-04T18:26:57.391Z,"3km N of Fontana, CA",earthquake,0.28,0.53,0.118,17.0,reviewed,ci,ci
2022-03-04T16:31:06.740Z,38.8339996,-122.7913361,1.95,1.09,md,18.0,106.0,0.004471,0.02,nc,nc73701121,2022-03-04T17:34:10.883Z,"6km WNW of Cobb, CA",earthquake,0.25,0.41,0.14,4.0,automatic,nc,nc
2022-03-04T16:17:51.010Z,19.3801670074463,-155.460006713867,8.40999984741211,1.86,ml,40.0,38.0,,0.159999996,hv,hv72937577,2022-03-04T16:23:21.910Z,"19 km N of Pāhala, Hawaii",earthquake,0.37,0.620000005,0.32,3.0,automatic,hv,hv
2022-03-04T16:15:27.411Z,38.58,-119.4476,7.4,0.7,ml,8.0,149.58,0.057,0.0809,nn,nn00834913,2022-03-04T16:19:48.412Z,"5 km ENE of Coleville, California",earthquake,,6.1,0.5,3.0,automatic,nn,nn
2022-03-04T16:03:53.904Z,61.4867,-149.9091,34.2,1.9,ml,,,,0.45,ak,ak0222wgek3g,2022-03-04T16:08:04.075Z,"4 km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2022-03-04T16:00:17.260Z,41.5106667,-112.1746667,8.06,1.01,md,11.0,91.0,0.09767,0.07,uu,uu60484317,2022-03-04T16:38:33.000Z,"7 km SW of Corinne, Utah",earthquake,0.33,1.58,0.121,9.0,reviewed,uu,uu
2022-03-04T15:52:56.070Z,44.7416667,-111.2453333,15.15,0.56,md,12.0,130.0,0.03618,0.24,uu,uu60484312,2022-03-04T16:32:49.200Z,"5 km SW of Hebgen Lake Estates, Montana",earthquake,1.31,1.66,0.139,8.0,reviewed,uu,uu
2022-03-04T15:52:33.670Z,17.9033333333333,-66.8758333333333,15.76,1.97,md,5.0,235.0,,0.05,pr,pr71338943,2022-03-04T16:24:06.590Z,"8 km SSE of Guánica, Puerto Rico",earthquake,0.75,0.62,0.137434516628506,4.0,reviewed,pr,pr
2022-03-04T15:52:10.562Z,38.1599,-117.9578,0.6,0.5,ml,9.0,141.49,0.021,0.149,nn,nn00834912,2022-03-04T15:56:08.098Z,"28 km SSE of Mina, Nevada",earthquake,,0.2,0.29,4.0,automatic,nn,nn
2022-03-04T15:49:56.750Z,44.742,-111.2685,16.94,0.29,md,10.0,251.0,0.05227,0.15,uu,uu60484307,2022-03-04T16:25:36.520Z,"6 km WSW of Hebgen Lake Estates, Montana",earthquake,2.28,2.44,0.215,7.0,reviewed,uu,uu
2022-03-04T15:35:10.530Z,19.2441673278809,-155.405838012695,31.1299991607666,1.72,ml,42.0,132.0,,0.140000001,hv,hv72937527,2022-03-04T15:40:41.030Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.59,0.790000021,3.34,4.0,automatic,hv,hv
2022-03-04T15:29:40.150Z,38.8351669,-122.819664,1.2,1.12,md,22.0,66.0,0.01282,0.04,nc,nc73701116,2022-03-04T17:09:11.748Z,"8km NW of The Geysers, CA",earthquake,0.19,0.4,0.1,4.0,automatic,nc,nc
2022-03-04T15:18:22.310Z,37.6533333,-118.868,2.77,-0.46,md,6.0,146.0,0.02976,0.04,nc,nc73701106,2022-03-04T18:20:09.071Z,"10km E of Mammoth Lakes, CA",earthquake,0.96,31.61,0.428,7.0,reviewed,nc,nc
2022-03-04T15:16:10.890Z,38.8121667,-122.787,2.85,0.15,md,27.0,37.0,0.005053,0.02,nc,nc73701101,2022-03-04T20:50:14.205Z,"5km NW of The Geysers, CA",earthquake,0.17,0.29,0.202,4.0,reviewed,nc,nc
2022-03-04T15:04:01.800Z,43.948166666666665,-122.123,34.47,1.01,ml,11.0,126.0,0.1409,0.19,uw,uw61820101,2022-03-04T19:44:17.850Z,"35 km NE of Oakridge, Oregon",earthquake,0.67,0.57,0.4052551137757648,6.0,reviewed,uw,uw
2022-03-04T15:01:40.531Z,-7.3847,128.4873,157.85,4.9,mb,,48.0,2.849,0.97,us,us6000h21i,2022-03-04T15:27:05.040Z,"206 km NE of Lospalos, Timor Leste",earthquake,8.4,1.9,0.064,77.0,reviewed,us,us
2022-03-04T14:48:10.190Z,33.4811667,-116.445,11.07,0.8,ml,18.0,150.0,0.0451,0.12,ci,ci40199496,2022-03-04T18:20:59.353Z,"23km ESE of Anza, CA",earthquake,0.42,0.64,0.123,10.0,reviewed,ci,ci
2022-03-04T14:47:08.090Z,38.7953339,-122.7488327,2.17,0.37,md,9.0,94.0,0.01001,0.03,nc,nc73701096,2022-03-04T15:53:11.296Z,"2km NNE of The Geysers, CA",earthquake,0.34,1.02,,1.0,automatic,nc,nc
2022-03-04T14:31:15.220Z,37.645,-118.8573333,2.7,0.37,md,6.0,120.0,0.01843,0.06,nc,nc73701086,2022-03-04T18:20:11.128Z,"11km E of Mammoth Lakes, CA",earthquake,0.94,31.61,0.306,6.0,reviewed,nc,nc
2022-03-04T14:22:59.640Z,39.4225,-110.3145,-1.34,1.2,md,5.0,194.0,0.008364,0.02,uu,uu60484302,2022-03-04T16:20:56.160Z,"15 km SSE of Sunnyside, Utah",earthquake,1.2,0.5,0.133,4.0,reviewed,uu,uu
2022-03-04T14:22:17.150Z,37.6508333,-118.8646667,2.79,-0.38,md,6.0,137.0,0.02622,0.01,nc,nc73701081,2022-03-04T18:13:38.217Z,"10km E of Mammoth Lakes, CA",earthquake,0.61,1.75,0.311,6.0,reviewed,nc,nc
2022-03-04T14:16:21.660Z,19.1333332061768,-155.425506591797,31.6900005340576,1.84000003,md,38.0,176.0,,0.129999995,hv,hv72937457,2022-03-04T14:19:30.380Z,"9 km SE of Pāhala, Hawaii",earthquake,0.63,0.850000024,0.699999988,7.0,automatic,hv,hv
2022-03-04T14:15:43.310Z,34.0501667,-117.1168333,12.33,1.06,ml,37.0,104.0,0.01511,0.14,ci,ci40199480,2022-03-04T18:18:23.320Z,"3km SE of Mentone, CA",earthquake,0.21,0.58,0.147,21.0,reviewed,ci,ci
2022-03-04T14:13:56.684Z,38.5969,-119.4304,0.0,1.4,ml,15.0,77.29,0.071,0.246,nn,nn00834908,2022-03-04T14:17:20.989Z,"7 km ENE of Coleville, California",earthquake,,4.1,0.58,6.0,automatic,nn,nn
2022-03-04T14:13:27.760Z,37.6448333,-118.86,3.62,0.41,md,7.0,120.0,0.02034,0.03,nc,nc73701076,2022-03-04T18:13:11.094Z,"10km E of Mammoth Lakes, CA",earthquake,0.5,1.12,0.197,7.0,reviewed,nc,nc
2022-03-04T14:12:33.540Z,37.6396667,-118.8598333,5.21,0.85,md,17.0,86.0,0.01909,0.07,nc,nc73701071,2022-03-04T18:10:10.075Z,"10km E of Mammoth Lakes, CA",earthquake,0.34,0.41,0.149,14.0,reviewed,nc,nc
2022-03-04T14:11:07.750Z,46.8995,-112.506,15.25,1.03,ml,13.0,94.0,0.052,0.14,mb,mb80539614,2022-03-04T15:09:39.220Z,"14 km ESE of Lincoln, Montana",earthquake,0.47,0.46,0.231,4.0,reviewed,mb,mb
2022-03-04T14:00:19.900Z,19.1323,-65.001,27.0,3.71,md,17.0,306.0,0.8715,0.3,pr,pr2022063000,2022-03-04T14:32:50.867Z,"87 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.78,19.62,0.11,12.0,reviewed,pr,pr
2022-03-04T13:57:45.490Z,37.6451667,-118.8621667,3.47,-0.4,md,7.0,122.0,0.02208,0.06,nc,nc73701066,2022-03-04T17:57:06.217Z,"10km E of Mammoth Lakes, CA",earthquake,0.57,1.39,0.4,7.0,reviewed,nc,nc
2022-03-04T13:56:06.680Z,19.1473331451416,-155.421493530273,33.560001373291,2.33,ml,49.0,172.0,,0.129999995,hv,hv72937447,2022-03-04T14:08:24.963Z,"8 km SE of Pāhala, Hawaii",earthquake,0.56,0.860000014,4.23,5.0,automatic,hv,hv
2022-03-04T13:44:42.627Z,63.0927,-151.4672,5.1,1.3,ml,,,,0.82,ak,ak0222wev0og,2022-03-04T15:51:42.187Z,"51 km SSE of Denali National Park, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2022-03-04T13:30:51.760Z,38.8238335,-122.8320007,3.41,0.85,md,8.0,151.0,0.002472,0.02,nc,nc73701061,2022-03-04T14:37:10.861Z,"8km NW of The Geysers, CA",earthquake,0.81,1.77,,1.0,automatic,nc,nc
2022-03-04T13:26:23.590Z,44.3278333,-115.1955,10.34,2.37,ml,17.0,83.0,0.951,0.26,mb,mb80539609,2022-03-04T15:53:14.370Z,"23 km WNW of Stanley, Idaho",earthquake,0.59,1.24,0.225,16.0,reviewed,mb,mb
2022-03-04T13:19:59.290Z,33.5913333,-116.8026667,8.14,0.23,ml,14.0,89.0,0.03228,0.07,ci,ci40199448,2022-03-04T18:12:13.128Z,"13km WNW of Anza, CA",earthquake,0.23,0.37,0.118,4.0,reviewed,ci,ci
2022-03-04T13:16:49.650Z,17.951,-66.933,12.83,2.52,md,16.0,181.0,,0.14,pr,pr71338913,2022-03-04T13:52:56.300Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.6,0.24,0.145745832916306,10.0,reviewed,pr,pr
2022-03-04T13:15:53.440Z,37.6451667,-118.8611667,3.7,0.24,md,7.0,121.0,0.02133,0.04,nc,nc73701056,2022-03-04T18:20:15.129Z,"10km E of Mammoth Lakes, CA",earthquake,0.54,1.34,0.151,7.0,reviewed,nc,nc
2022-03-04T13:14:17.165Z,-7.2204,105.2583,35.0,4.8,mb,,138.0,2.384,0.87,us,us6000h215,2022-03-04T13:37:46.040Z,"112 km SW of Labuan, Indonesia",earthquake,7.2,2.0,0.082,46.0,reviewed,us,us
2022-03-04T13:13:23.210Z,19.1898326873779,-155.408340454102,32.7700004577637,1.88999999,md,27.0,168.0,,0.109999999,hv,hv72937407,2022-03-04T13:21:57.967Z,"7 km E of Pāhala, Hawaii",earthquake,0.92,1.00999999,1.25,3.0,automatic,hv,hv
2022-03-04T13:11:07.019Z,36.4325,-96.944,7.47,0.72,ml,32.0,60.0,0.02519505587,0.15,ok,ok2022ekhh,2022-03-04T15:41:31.408Z,"16 km NNE of Morrison, Oklahoma",earthquake,,0.3,0.17,4.0,reviewed,ok,ok
2022-03-04T13:03:21.640Z,33.6663333,-116.7038333,15.52,0.58,ml,16.0,90.0,0.02518,0.09,ci,ci40199440,2022-03-04T18:08:24.086Z,"8km S of Idyllwild, CA",earthquake,0.26,0.46,0.299,6.0,reviewed,ci,ci
2022-03-04T13:02:31.940Z,37.6576667,-118.8716667,1.21,-0.43,md,6.0,161.0,0.0272,0.05,nc,nc73701051,2022-03-04T17:51:05.434Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.78,31.61,0.287,6.0,reviewed,nc,nc
2022-03-04T12:54:07.350Z,33.4153333,-116.4175,13.96,0.66,ml,22.0,75.0,0.1046,0.12,ci,ci40199432,2022-03-04T16:47:09.589Z,"18km NNW of Borrego Springs, CA",earthquake,0.2,0.6,0.123,8.0,reviewed,ci,ci
2022-03-04T12:42:47.770Z,37.661,-118.8756667,0.23,-0.53,md,6.0,174.0,0.02466,0.02,nc,nc73701046,2022-03-04T17:48:05.081Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.69,1.21,0.328,7.0,reviewed,nc,nc
2022-03-04T12:40:29.510Z,38.8330002,-122.817337,1.45,1.03,md,17.0,56.0,0.01114,0.02,nc,nc73701041,2022-03-04T13:07:14.333Z,"8km NW of The Geysers, CA",earthquake,0.23,0.5,,1.0,automatic,nc,nc
2022-03-04T12:37:43.340Z,37.5200005,-121.8416672,2.54,1.06,md,7.0,156.0,0.0417,0.07,nc,nc73701036,2022-03-04T14:11:10.706Z,"10km SSE of Sunol, CA",earthquake,0.62,1.19,0.07,5.0,automatic,nc,nc
2022-03-04T12:31:28.870Z,35.54283333,-96.74766667,7.8,2.1,ml,100.0,32.0,0.1142775748,0.21,ok,ok2022ekfz,2022-03-04T15:34:26.262Z,"8 km NW of Prague, Oklahoma",earthquake,,0.5,0.24,13.0,reviewed,ok,ok
2022-03-04T12:15:52.010Z,46.4358333,-113.3461667,2.23,1.23,ml,13.0,130.0,0.069,0.16,mb,mb80539654,2022-03-04T18:48:32.750Z,"9 km WSW of Maxville, Montana",earthquake,0.45,1.18,0.118,3.0,reviewed,mb,mb
2022-03-04T12:13:18.570Z,37.468,-118.8105,7.07,1.05,md,18.0,204.0,0.1113,0.03,nc,nc73701031,2022-03-04T17:56:13.998Z,"16km SW of Toms Place, CA",earthquake,0.54,1.54,0.115,15.0,reviewed,nc,nc
2022-03-04T12:11:00.370Z,33.4888333,-116.5223333,14.17,0.59,ml,21.0,55.0,0.06887,0.09,ci,ci40199416,2022-03-04T18:04:48.243Z,"16km ESE of Anza, CA",earthquake,0.18,0.36,0.126,9.0,reviewed,ci,ci
2022-03-04T12:04:13.870Z,38.802,-122.7898333,3.28,0.25,md,11.0,65.0,0.007333,0.01,nc,nc73701026,2022-03-04T20:13:10.833Z,"4km NW of The Geysers, CA",earthquake,0.51,0.84,0.288,3.0,reviewed,nc,nc
2022-03-04T11:46:38.262Z,38.1731,-117.9566,5.7,0.6,ml,8.0,156.89,0.034,0.0451,nn,nn00834907,2022-03-04T11:50:36.816Z,"27 km SSE of Mina, Nevada",earthquake,,0.6,0.24,4.0,automatic,nn,nn
2022-03-04T11:44:42.440Z,33.5016667,-116.6941667,11.56,0.71,ml,20.0,49.0,0.02486,0.14,ci,ci40199400,2022-03-04T15:36:48.002Z,"6km SSW of Anza, CA",earthquake,0.26,0.49,0.107,15.0,reviewed,ci,ci
2022-03-04T11:42:57.982Z,62.9489,-150.9106,97.2,1.9,ml,,,,0.48,ak,ak0222wdnrba,2022-03-04T11:46:50.930Z,"50 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-04T11:27:51.710Z,33.6011667,-116.8061667,8.0,0.38,ml,21.0,84.0,0.03589,0.14,ci,ci40199392,2022-03-04T18:19:13.108Z,"13km WNW of Anza, CA",earthquake,0.28,0.44,0.09,6.0,reviewed,ci,ci
2022-03-04T11:19:27.930Z,19.1630001068115,-155.468505859375,33.3400001525879,1.73000002,md,33.0,84.0,,0.119999997,hv,hv72937312,2022-03-04T11:22:48.980Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.68,1.21000004,1.87,4.0,automatic,hv,hv
2022-03-04T11:18:46.940Z,38.836,-122.8066667,2.03,1.6,md,51.0,29.0,0.01286,0.03,nc,nc73701016,2022-03-04T21:00:14.114Z,"7km WNW of Cobb, CA",earthquake,0.12,0.22,0.176,20.0,reviewed,nc,nc
2022-03-04T11:10:26.650Z,33.3618333,-116.359,10.08,0.74,ml,25.0,103.0,0.03567,0.21,ci,ci40199384,2022-03-04T18:11:16.480Z,"12km N of Borrego Springs, CA",earthquake,0.36,0.81,0.114,11.0,reviewed,ci,ci
2022-03-04T11:02:28.990Z,18.0438333333333,-66.8186666666667,13.99,2.25,md,7.0,131.0,,0.13,pr,pr71338898,2022-03-04T11:55:05.470Z,"3 km ENE of Yauco, Puerto Rico",earthquake,0.42,0.99,0.0353602705595879,5.0,reviewed,pr,pr
2022-03-04T11:02:18.359Z,36.432,-96.94333333,7.02,0.43,ml,24.0,68.0,0.02609487929,0.11,ok,ok2022ekda,2022-03-04T15:52:19.100Z,"16 km NNE of Morrison, Oklahoma",earthquake,,0.4,0.23,3.0,reviewed,ok,ok
2022-03-04T10:55:32.290Z,38.833168,-122.8168335,1.83,0.71,md,16.0,56.0,0.0111,0.02,nc,nc73701006,2022-03-04T11:42:12.855Z,"8km NW of The Geysers, CA",earthquake,0.25,0.61,0.14,2.0,automatic,nc,nc
2022-03-04T10:46:14.761Z,27.1745,53.2459,10.0,4.4,mb,,103.0,3.465,0.44,us,us6000h20t,2022-03-04T11:02:42.040Z,"55 km SE of Mohr, Iran",earthquake,9.1,1.9,0.089,36.0,reviewed,us,us
2022-03-04T10:05:49.320Z,45.392,-112.111,2.25,0.6,ml,8.0,70.0,0.166,0.19,mb,mb80539664,2022-03-04T18:55:19.170Z,"7 km N of Alder, Montana",earthquake,0.61,2.5,0.017,2.0,reviewed,mb,mb
2022-03-04T10:01:51.500Z,38.8250008,-122.8509979,1.65,0.37,md,8.0,121.0,0.005245,0.12,nc,nc73700996,2022-03-04T11:37:10.825Z,"10km WNW of The Geysers, CA",earthquake,0.56,1.22,,1.0,automatic,nc,nc
2022-03-04T09:58:20.540Z,19.2378330230713,-155.410995483398,33.0200004577637,2.34,ml,44.0,132.0,,0.119999997,hv,hv72937272,2022-03-04T10:52:09.040Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.47,0.639999986,3.49,12.0,automatic,hv,hv
